"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://common.usembassy.gov/en/ds-82/","https://common.usembassy.gov/en/ds-82/","text/html","200","OK","Indexable","","Technical Difficulties","22","186","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","188871","188871","19","4","4.750","46.172","Hard","0.071","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","f6d75e3fa14002354f788553b366d2de","4.596","Thu, 06 Jul 2023 14:51:24 GMT","","","","1.1","https://common.usembassy.gov/en/ds-82/","2024-11-30 14:40:46"
"https://portal.ct.gov/deep/state-parks/passport-to-the-parks","https://portal.ct.gov/deep/state-parks/passport-to-the-parks","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","986","986","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","5.121","","","","","1.1","https://portal.ct.gov/deep/state-parks/passport-to-the-parks","2024-11-30 14:41:39"
"https://www.euromonitor.com/solutions/passport","https://www.euromonitor.com/solutions/passport","text/html; charset=utf-8","200","OK","Indexable","","Passport Is Euromonitor's Syndicated Global Market Research Database - Euromonitor.com","86","803","Passport provides data and insight on industries, economies and consumers worldwide, helping our clients analyse market context and identify future trends.","155","975","","0","What if your smartest decision is just a question away?","55","Passport demolishes doubt","25","","0","Join thousands of organisations accessing our 50+ years of intelligence to unlock growth","88","","","","","https://www.euromonitor.com/solutions/passport","","","","","","","138197","26655","1349","373","3.617","38.103","Hard","10.795","0","1","","9","1","0","1.250","129","93","0","7","7","0","","","","","d86767dfc4090e9cab4f338b4d126317","0.845","","","","","1.1","https://www.euromonitor.com/solutions/passport","2024-11-30 14:42:48"
"https://www.multco.us/recording/passport-applications","https://www.multco.us/recording/passport-applications","text/html; charset=utf-8","200","OK","Indexable","","Passport Applications | Multnomah County","40","379","How to apply and what you need to bring to apply for a U.S. Passport at Multnomah County.","89","567","","0","Passport Applications","21","","0","Search form","11","I want to:","10","","","","","https://www.multco.us/recording/passport-applications","https://www.multco.us/recording/passport-applications","","","","","","64446","14629","1423","344","4.137","69.761","Normal","15.211","0","1","","3","1","0","1.250","107","94","0","27","22","0","","","","","b2a53ada05d7673bb432817461acbc3b","3.260","Sat, 30 Nov 2024 09:41:36 GMT","","","","1.1","https://www.multco.us/recording/passport-applications","2024-11-30 14:41:35"
"https://www.silverdollarcity.com/tickets/ticket-add-ons/christmas-tasting-passport/","https://www.silverdollarcity.com/tickets/ticket-add-ons/christmas-tasting-passport/","text/html; charset=utf-8","200","OK","Indexable","","Christmas Tasting Passport | Silver Dollar City Attractions","59","507","","0","0","","0","Festive Eats & Treats","21","","0","","0","Get The Latest News and Special Offers","38","","","","","https://www.silverdollarcity.com/tickets/ticket-add-ons/christmas-tasting-passport/","","","","","","","150909","17176","1015","312","3.253","79.759","Fairly Easy","6.085","0","3","","2","1","0","1.250","262","72","0","29","6","0","","","","","e675f9bf7d9cc873ba7cc2f1f0757387","6.092","","","","","1.1","https://www.silverdollarcity.com/tickets/ticket-add-ons/christmas-tasting-passport/","2024-11-30 14:42:26"
"https://www.iowadnr.gov/Places-to-Go/State-Parks/Parks-Passport","https://www.iowadnr.gov/Places-to-Go/State-Parks/Parks-Passport","text/html; charset=utf-8","200","OK","Indexable","","Parks Passport, Iowa DNR","24","229","Build points to redeem prizes. If you cash in, start back at zero and keep visiting parks to earn additional prizes.","116","686","idnr, department of natural resources, DNR, Iowa, resources, department, natural, air, quality, water, energy, regulation, law, forestry geology, waste, recycle, fisheries, fish, fishing, wildlife, hunting, permits, license","223","Parks Passport","14","","0","Parks Passport Banner","21","Visit State Parks. Check In. Earn Prizes.","41","INDEX, FOLLOW","","","","","","","","","","","233629","37267","3338","767","4.352","89.077","Easy","9.372","0","2","","4","1","0","1.250","880","647","0","25","19","0","","","","","dbca16c0eec71cdc5ef35230658b4d45","6.058","","","","","1.1","https://www.iowadnr.gov/Places-to-Go/State-Parks/Parks-Passport","2024-11-30 14:41:49"
"https://ohio.gov/residents/resources/passport","https://ohio.gov/residents/resources/passport","text/html","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","5140","5140","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.007","Fri, 12 Apr 2024 16:59:15 GMT","","","","1.1","https://ohio.gov/residents/resources/passport","2024-11-30 14:41:28"
"https://www.coloradoski.com/passes-and-deals/ski-passport/","https://www.coloradoski.com/passes-and-deals/ski-passport/","text/html; charset=UTF-8","200","OK","Indexable","","Kids' Ski Passport | Colorado Ski Country USA","45","401","The Kids' Ski Passport for students grades 3–6 is just $65. Hit the slopes this winter with the whole family—and without breaking the bank.","139","861","","0","2024–25 Ski Passport grades 3–6","31","2024–25 Ski Passport grades 3–6","31","2024–25 Ski Passport Ski early. Ski often.","42","FAQs","4","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://www.coloradoski.com/passes-and-deals/ski-passport/","","","","","","","581032","232156","1943","297","6.542","76.147","Fairly Easy","13.450","0","2","","6","1","0","1.250","124","66","0","15","10","0","","","","","829c6b2faa547114e99536ef823df668","2.571","","","","","1.1","https://www.coloradoski.com/passes-and-deals/ski-passport/","2024-11-30 14:42:41"
"https://ociservices.gov.in/","https://ociservices.gov.in/","text/html;charset=ISO-8859-1","200","","Non-Indexable","Redirected","OCI","3","33","","0","0","","0","","0","","0","","0","","0","","","","0; URL=jsDisabled","","","","","","","","31130","31130","648","115","5.635","47.321","Hard","14.458","0","0","","7","1","0","1.250","13","7","0","10","10","0","","","","","b055865dfbc67817dbe3019202c00739","5.279","","https://ociservices.gov.in/jsDisabled","Meta Refresh Redirect","","1.1","https://ociservices.gov.in/","2024-11-30 14:40:46"
"https://apps.apple.com/us/app/passport-parking/id501324867","https://apps.apple.com/us/app/passport-parking/id501324867","text/html","200","OK","Indexable","","‎Passport Parking on the App Store","34","305","No more digging for coins. This is how parking should be.

Pay, extend, and manage your parking session with just a few taps. It’s easy!

PAY ON THE GO 
Pay qui…","161","996","Passport Parking, Passport Labs, Inc., Travel,Navigation, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes","134","Passport Parking 4+","19","","0","Park. Pay. Be on your way. ‪®‬","30","Passport Labs, Inc.","19","","","","","https://apps.apple.com/us/app/passport-parking/id501324867","","","","","","","626757","131151","1244","243","5.119","88.884","Easy","1.226","0","3","","0","0","0","0.000","41","41","0","5","2","0","","","","","6d2707bdcc82a9dd3742e8ddad923944","1.909","","","","","1.1","https://apps.apple.com/us/app/passport-parking/id501324867","2024-11-30 14:41:24"
