"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://shop.warriors.com/golden-state-warriors-men-hoodies-and-sweatshirts/t-25250630+ga-45+d-342728632+z-8-487368165","https://shop.warriors.com/golden-state-warriors-men-hoodies-and-sweatshirts/t-25250630+ga-45+d-342728632+z-8-487368165","text/html; charset=utf-8","200","OK","Indexable","","Golden State Warriors Mens Hoodies, Sweatshirts, Warriors Full Zip Sweatshirt, Crew Neck Sweatshirt | shop.warriors.com","119","1075","","0","0","Find your Golden State Warriors Mens Hoodies and sweatshirts at the Official Golden State Warriors Shop. Browse our selection of Warriors hoodies and sweatshirts for every Warriors fan at Official Golden State Warriors Shop.","224","1394","Hoodies & Sweatshirts","21","","0","","0","Your Selections","15","Gender/Age","10","","","","","https://shop.warriors.com/golden-state-warriors-men-hoodies-and-sweatshirts/t-25250630+ga-45+d-342728632+z-8-487368165","","https://shop.warriors.com/golden-state-warriors-men-hoodies-and-sweatshirts/t-25250630+ga-45+d-342728632+z-8-487368165?pageNumber=2","","","","","825735","82178","1884","653","2.885","94.789","Very Easy","1.551","0","1","","76","1","0","1.120","346","155","0","3","3","0","","","","","30aeba05f20a9a7fa0e431fdc3735078","2.773","","","","","1.1","https://shop.warriors.com/golden-state-warriors-men-hoodies-and-sweatshirts/t-25250630+ga-45+d-342728632+z-8-487368165","2024-11-26 00:54:42"
"https://oldnavy.gap.com/browse/product.do?pid=865008172","https://oldnavy.gap.com/browse/product.do?pid=865008172","text/html; charset=utf-8","200","OK","Indexable","","SoComfy Sweatshirt | Old Navy","29","273","","0","0","Shop Old Navy's SoComfy Sweatshirt: crew neck, drop-shoulder sleeves, rib-knit cuffs, rib-knit hem, pull-over style, #888735","124","762","","0","SoComfy Sweatshirt","18","SoComfy Sweatshirt","18","Product Selections","18","Related Items","13","max-image-preview:standard","","","","https://oldnavy.gap.com/browse/product.do?pid=865008172","","","","","","","988400","138470","317","95","3.337","94.829","Very Easy","0.179","0","1","","4","1","0","1.120","45","42","0","1","1","0","","","","","efa19c1da1653b382567d2e021b1301f","2.260","","","","","1.1","https://oldnavy.gap.com/browse/product.do?pid=865008172","2024-11-26 00:54:50"
"https://wrenchworkz.com/collections/sweatshirts","https://wrenchworkz.com/collections/sweatshirts","text/html; charset=utf-8","200","OK","Indexable","","Sweatshirts – WrenchWorkz","25","252","","0","0","WrenchWorkz Sweatshirts","23","164","","0","Sweatshirts","11","","0","","0","","0","","","","","https://wrenchworkz.com/collections/sweatshirts","","https://wrenchworkz.com/collections/sweatshirts?page=2","","","","","165362","26286","158","70","2.257","99.062","Very Easy","1.406","0","1","","6","1","0","1.120","108","58","0","5","3","0","","","","","2b9db99a1c610506f7fbd7ab2f7b047a","0.710","","","","","1.1","https://wrenchworkz.com/collections/sweatshirts","2024-11-26 00:54:46"
"https://www.lanesevenapparel.com/product/LS14004/Premium-Crewneck-Sweatshirt.html","https://www.lanesevenapparel.com/product/LS14004/Premium-Crewneck-Sweatshirt.html","text/html;charset=UTF-8","200","OK","Indexable","","Premium Crewneck Sweatshirt | Lane Seven Apparel","48","463","","0","0","","0","0","","0","ls14004","7","","0","Color","5","Black","5","","","","","","","","","","","","384431","36772","580","143","4.056","75.526","Fairly Easy","1.318","0","2","","8","1","0","1.120","98","56","0","16","8","0","","","","","74c2066e9aa2137e7a4b76f4b8d57b41","3.219","","","","","1.1","https://www.lanesevenapparel.com/product/LS14004/Premium-Crewneck-Sweatshirt.html","2024-11-26 00:54:39"
"https://www.ae.com/us/en/p/aerie/tops/sweatshirts-hoodies/aerie-getaway-quarter-snap-sweatshirt/0743_3379_735","https://www.ae.com/us/en/p/aerie/tops/sweatshirts-hoodies/aerie-getaway-quarter-snap-sweatshirt/0743_3379_735","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Aerie Getaway Quarter Snap Sweatshirt","37","348","","0","0","Shop American Eagle Outfitters for men's and women&#x27;s jeans, T&#x27;s, shoes and more. All styles are available in additional sizes only at ae.com","150","861","","0","Aerie Getaway Quarter Snap Sweatshirt","37","","0","","0","","0","index,follow","","","","https://www.ae.com/us/en/p/aerie/tops/sweatshirts-hoodies/aerie-getaway-quarter-snap-sweatshirt/0743_3379_735?menu=cat4840006","","","","","","","848242","149953","144","43","3.349","77.123","Fairly Easy","0.712","0","7","","7","1","0","1.120","277","234","0","11","11","0","","","","","c2a0c83b767ef9cb6015ee65f1ae5dc8","3.841","Mon, 25 Nov 2024 19:54:43 GMT","","","","1.1","https://www.ae.com/us/en/p/aerie/tops/sweatshirts-hoodies/aerie-getaway-quarter-snap-sweatshirt/0743_3379_735","2024-11-26 00:54:39"
"https://beyondyoga.com/collections/sweaters-sweatshirts","https://beyondyoga.com/collections/sweaters-sweatshirts","text/html; charset=utf-8","200","OK","Indexable","","Athletic Sweaters & Sweatshirts
– Beyond Yoga","45","422","","0","0","Don’t be surprised if the essential sweatshirt jacket you snag today for your commute is the same one you find yourself choosing to wear all day long.","150","925","","0","Beyond Yoga Logo","16","Sweaters & Sweatshirts","22","My Bag","6","39 products","11","","","","","https://beyondyoga.com/collections/sweaters-sweatshirts","","","","","","","1884041","147242","1906","739","2.579","100.000","Very Easy","0.891","0","1","","9","1","0","1.120","386","140","0","10","5","0","","","","","ad35ce5b44f143bcf082883e8ffebf98","0.780","","","","","1.1","https://beyondyoga.com/collections/sweaters-sweatshirts","2024-11-26 00:54:46"
"https://www.earlsweatshirt.com/","https://www.earlsweatshirt.com/","text/html; charset=UTF-8","200","OK","Indexable","","Homepage | Earl Sweatshirt","26","244","","0","0","Latest music, videos, merch and more.","37","238","earl sweatshirt, feet of clay, Alchemist, album, EP, merch, t-shirt, sweater, hoodie, lyrics, videos, Facebook, Instagram, twitter, youtube, Soundcloud, Spotify, Apple Music, download, stream, watch, listen, thebe, kgositsile, South Africa, Los Angeles, odd future, Tyler the creator, ofwgkta, tan Cressida, Warner records, chum, I don’t like shit, I don’t go outside, IDLSIDGO, Some Rap Songs, SRS, Doris, rap, unreleased, tour, qr code, scan, sick, sick!","456","","0","","0","Tour","4","Music","5","index, follow","noimageai,noai","","","https://www.earlsweatshirt.com/","","","","","","","115952","21536","305","84","3.631","75.001","Fairly Easy","1.779","0","0","","1","1","0","1.120","8","4","0","46","23","0","","","","","60bc3b88075330c8b66f15af0f813f07","2.331","Mon, 25 Nov 2024 19:52:06 GMT","","","","1.1","https://www.earlsweatshirt.com/","2024-11-26 00:54:51"
"https://snapongear.corpmerchandise.com/category/8099","https://snapongear.corpmerchandise.com/category/8099","text/html; charset=utf-8","200","OK","Indexable","","Snap-On Consumer","16","173","","0","0","","0","0","","0","Sweatshirts","11","","0","Select your brand/logo to start shopping","40","","0","INDEX,FOLLOW","","","","https://snapongear.corpmerchandise.com/category/8099","","","","","","","242218","40127","608","328","1.854","100.000","Very Easy","1.872","0","1","","6","1","0","1.120","147","92","0","6","6","0","","","","","fd4ad8e2bff4c022a41b10bd17f0e6d1","1.346","","","","","1.1","https://snapongear.corpmerchandise.com/category/8099","2024-11-26 00:54:49"
"https://www.bbcicecream.com/collections/billionaire-boys-club-sweatshirts","https://www.bbcicecream.com/collections/billionaire-boys-club-sweatshirts","text/html; charset=utf-8","200","OK","Indexable","","Billionaire Boys Club - Sweatshirts","35","299","","0","0","","0","0","","0","Collection: Billionaire Boys Club - Sweatshirts","47","","0","Your cart is empty","18","Your cart","9","","","","","https://www.bbcicecream.com/collections/billionaire-boys-club-sweatshirts","","","","","","","1269751","121143","3689","1065","3.464","100.000","Very Easy","3.855","0","1","","826","1","0","1.120","1018","90","0","5","5","0","","","","","326b7106dbc6c13dd29390c76a5f13a2","0.869","","","","","1.1","https://www.bbcicecream.com/collections/billionaire-boys-club-sweatshirts","2024-11-26 00:54:44"
"https://www.adidas.com/us/men-hoodies_sweatshirts","https://www.adidas.com/us/men-hoodies_sweatshirts","text/html; charset=utf-8","200","OK","Indexable","","Men's Hoodies & Sweatshirts | Free Shipping for adiClub Members | adidas US","75","685","","0","0","Free Shipping for adiClub Members | Stay winter-ready with men's hoodies, sweatshirts, pullovers and crewnecks at adidas. You never know when you'll need an extra layer.","169","1061","","0","Men's Hoodies & Sweatshirts: Up to 70% Off","42","","0","BLACK FRIDAY SALE UP TO 70%","27","Our clothing and shoe categories","32","index,follow","","","","https://www.adidas.com/us/men-hoodies_sweatshirts","","","","","","","628996","83948","809","134","6.037","80.343","Easy","2.251","0","1","","1","1","0","1.120","318","232","0","12","12","0","","","","","44c2fbd82acce1981fdae2b552bb4761","2.734","","","","","1.1","https://www.adidas.com/us/men-hoodies_sweatshirts","2024-11-26 00:54:38"
"https://shop.casabonitadenver.com/collections/sweathshirts","https://shop.casabonitadenver.com/collections/sweathshirts","text/html; charset=utf-8","200","OK","Indexable","","Sweatshirts
      
      
       – Casa Bonita","46","234","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","https://shop.casabonitadenver.com/collections/sweathshirts","","https://shop.casabonitadenver.com/collections/sweathshirts?page=2","","","","","208945","41954","319","122","2.615","100.000","Very Easy","1.563","0","1","","6","1","0","1.120","111","57","0","5","5","0","","","","","53325f6b2f63510819e8496319b26861","0.919","","","","","1.1","https://shop.casabonitadenver.com/collections/sweathshirts","2024-11-26 00:54:47"
