"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.youmustcreate.com/collections/jewellery","https://www.youmustcreate.com/collections/jewellery","text/html; charset=utf-8","200","OK","Indexable","","Women's Jewellery | YMC | You Must Create","41","389","","0","0","Discover a selection of unisex jewellery featuring hand finished rings, necklaces and pendants. Shop YMC jewellery for men and women at youmustcreate.com","153","982","","0","0","","0","Women's Jewellery (15)","22","","0","","0","","0","","","","https://www.youmustcreate.com/collections/jewellery","","","","","","","223138","37030","279","141","1.979","78.685","Fairly Easy","5.368","0","1","","5","1","0","1.230","120","92","0","4","3","0","","","","","ab6908f293be3b66db84d2242d8e1499","0.747","","","","","1.1","https://www.youmustcreate.com/collections/jewellery","2024-11-30 15:20:59"
"https://www.watchrepublic.co.za/jewellery/womens-jewellery","https://www.watchrepublic.co.za/jewellery/womens-jewellery","text/html; charset=UTF-8","200","OK","Indexable","","Women's jewellery - Jewellery","29","263","","0","0","","0","0","","0","0","","0","Women's jewellery","17","","0","Best Sellers","12","","0","INDEX,FOLLOW","","","https://www.watchrepublic.co.za/jewellery/womens-jewellery","","https://www.watchrepublic.co.za/jewellery/womens-jewellery?p=2","","","","","647486","47525","1024","500","2.048","100.000","Very Easy","2.548","0","1","","45","1","0","1.230","909","307","0","5","3","0","","","","","86314976242e24e82c524260990fdd02","2.259","","","","","1.1","https://www.watchrepublic.co.za/jewellery/womens-jewellery","2024-11-30 15:20:53"
"https://www.indieandharper.com/","https://www.indieandharper.com/","text/html; charset=utf-8","200","OK","Indexable","","Australian Online Women’s Jewellery","35","327","","0","0","Australian Online Bohemian Women's Jewellery Store with one of the world's largest collections! Explore our Rings, Earrings, Bracelets, Necklaces and Anklets made with 925 Sterling Silver, Gold, Rose Gold, Moonstones, Opals, Turquoise, Birthstones and more.","257","1603","","0","0","","0","","0","","0","Language","8","Currency","8","","","","https://www.indieandharper.com/","","","","","","","3734813","235471","2986","1056","2.828","92.733","Very Easy","0.645","0","0","","127","1","0","1.230","885","228","0","5","5","0","","","","","b78ad18dc0a87d1430310456c3dc2ac8","0.584","","","","","1.1","https://www.indieandharper.com/","2024-11-30 15:21:03"
"https://www.giovanniraspini.com/row/jewellery/woman","https://www.giovanniraspini.com/row/jewellery/woman","text/html;charset=UTF-8","200","OK","Indexable","","Women’s Sterling Silver Jewellery | Giovanni Raspini","52","458","","0","0","Discover women’s silver jewellery by Giovanni Raspini. Fine Made in Italy craftsmanship and quality, made precious with sterling silver.","136","830","","0","0","Women’s Sterling Silver Jewellery | Giovanni Raspini","52","Women's Jewellery","17","","0","Collections","11","Jewellery","9","","","","https://www.giovanniraspini.com/row/jewellery/woman","","","","","","","194775","23437","616","191","3.225","100.000","Very Easy","2.961","0","2","","5","1","0","1.230","328","260","0","5","5","0","","","","","579e5577a78af11ea0e37a0c19565093","1.785","","","","","1.1","https://www.giovanniraspini.com/row/jewellery/woman","2024-11-30 15:21:04"
"https://www.katespadeoutlet.com/shop/jewelry/view-all","https://www.katespadeoutlet.com/shop/jewelry/view-all","text/html; charset=utf-8","200","OK","Indexable","","Designer Jewelry Deals for Women | Kate Spade Outlet","52","483","","0","0","Enjoy jewelry deals & discounts on women's necklaces, bracelets, earrings and more jewelry from kate spade outlet. Plus, free ground shipping on all orders over $50 to the U.S.","176","1087","","0","0","","0","all jewelry","11","","0","Shop By Category","16","COLOR","5","index, follow,max-image-preview:large","","","https://www.katespadeoutlet.com/shop/jewelry/view-all","","https://www.katespadeoutlet.com/shop/jewelry/view-all?fbclid=IwZXh0bgNhZW0CMTEAAR3k5_K8M2Q8NAA-vZVU9yBbZc-7xRYYRvJY_DcCoocfGXDzB6sIUn9y55o_aem_iFIUHhODRwJ777JjDqDCng&page=2&startFrom=2","","","","","675771","90273","501","121","4.140","71.426","Fairly Easy","0.485","0","2","","3","1","0","1.230","44","31","0","0","0","0","","","","","d783c75786a2677bcd8d97b107720417","1.841","Sat, 30 Nov 2024 08:42:17 GMT","","","","1.1","https://www.katespadeoutlet.com/shop/jewelry/view-all","2024-11-30 15:21:26"
"https://www.dsquared2.com/us/women/accessories/jewellery","https://www.dsquared2.com/us/women/accessories/jewellery","text/html;charset=UTF-8","200","OK","Indexable","","Women's Jewellery: Earrings, Rings, Necklaces | DSQUARED2","57","539","","0","0","Discover our DSQUARED Jewels: Earrings, Rings, Necklaces and Bracelets to match your outfit. Shop now Online!","109","699","","0","0","","0","Jewellery","9","","0","Filter By:","10","46 products found","17","index,follow","","","https://www.dsquared2.com/us/women/accessories/jewellery","","https://www.dsquared2.com/us/women/accessories/jewellery?start=24&sz=24","","","","","934211","66679","517","195","2.651","100.000","Very Easy","0.772","0","3","","9","1","0","1.230","312","238","0","8","8","0","","","","","4575f09db8b6c6753269716ef3eee6b8","2.297","","","","","1.1","https://www.dsquared2.com/us/women/accessories/jewellery","2024-11-30 15:20:51"
"https://int.glamira.com/women/","https://int.glamira.com/women/","text/html; charset=UTF-8","200","OK","Indexable","","Buy women jewellery & diamond rings | GLAMIRA Jewelry","53","507","","0","0","Buy high-end diamond jewellery for women at GLAMIRA ✓Wide selection of women's jewellery ✓Unique designs ☆Customize with your favourite gemstone.","145","949","","0","0","","0","Women’s Jewellery","17","","0","Shop Jewellery by Category","26","Rings","5","INDEX,FOLLOW","","","https://int.glamira.com/women/","","","","","","","186011","30545","1198","217","5.521","56.536","Fairly Hard","4.471","0","1","","9","1","0","1.230","140","69","0","6","6","0","","","","","9bba48a4e8f277ca2587ae47f3bea19a","0.866","Thu, 28 Nov 2024 04:20:34 GMT","","","","1.1","https://int.glamira.com/women/","2024-11-30 15:21:30"
"https://www.versace.com/gb/en/women/fashion-jewellery/","https://www.versace.com/gb/en/women/fashion-jewellery/","text/html;charset=UTF-8","200","OK","Indexable","","Versace Fashion Jewellery for Women","35","339","","0","0","Discover now the designer products of the category Women's Luxury Jewellery by Versace and buy online!","102","657","","0","0","","0","Women's Fashion Jewellery","25","","0","CONFIRMATION","12","VERSACE","7","INDEX,FOLLOW","","","https://www.versace.com/gb/en/women/fashion-jewellery/","","https://www.versace.com/gb/en/women/fashion-jewellery/?page=2","","","","","479871","38678","537","156","3.442","82.349","Easy","1.336","0","4","","9","1","0","1.230","167","49","0","0","0","0","","","","","3db67d65484999ef7527f216cb21dfc9","4.840","","","","","1.1","https://www.versace.com/gb/en/women/fashion-jewellery/","2024-11-30 15:21:28"
"https://www.kendrascott.com/","https://www.kendrascott.com/","text/html;charset=UTF-8","200","OK","Indexable","","Kendra Scott Official | Jewelry, Personalized Gifts & Watches","61","535","","0","0","Find limited-edition jewelry for every look with simple pendant necklaces, huggie earrings, band rings, and more.","113","691","","0","0","Commerce Cloud Storefront Reference Architecture","48","","0","Top Categories On Sale","22","Holiday Deals","13","Bestsellers On Sale","19","","","","https://www.kendrascott.com/","","","","","","","383806","42608","516","124","4.161","75.055","Fairly Easy","2.706","0","0","","11","1","0","1.230","535","196","0","7","7","0","","","","","2a679667317f1fb9dc77b2c6e505c67","0.937","","","","","1.1","https://www.kendrascott.com/","2024-11-30 15:20:52"
"https://superette.co.nz/collections/womens-jewellery","https://superette.co.nz/collections/womens-jewellery","text/html; charset=utf-8","200","OK","Indexable","","Superette | Women's Jewellery","29","271","","0","0","Superette's jewellery collection caters to all tastes, featuring gold and silver pendant and charm necklaces, a wide range of earrings, and an assortment of bracelets and rings. Free shipping on orders over $100.","212","1293","","0","0","","0","","0","","0","","0","","0","","","","https://superette.co.nz/collections/womens-jewellery","","","","","","","242703","34778","7","2","3.500","70.340","Fairly Easy","0.423","0","1","","1","1","0","1.230","86","84","0","0","0","0","","","","","15c75980e58a6683af2d05e057eb4502","0.728","","","","","1.1","https://superette.co.nz/collections/womens-jewellery","2024-11-30 15:21:27"
